프로젝트,분류,업무명,상세
다픽웹,개발,하단 비교 트레이,"화면 아래에 담긴 상품 3칸이 보이는 띠를 만들고, 페이지를 옮겨 다녀도 계속 따라다니게 함"
다픽웹,개발,트레이 접기 펼치기,아래 띠가 화면을 가리지 않도록 접었다 폈다 할 수 있게 함
다픽웹,개발,트레이에서 빼기,담은 칸에서 상품을 바로 뺄 수 있는 버튼을 넣음
다픽웹,개발,비교표 화면,담은 상품을 표로 펼쳐 보여주는 화면을 만들어 항목별로 나란히 비교하게 함
다픽웹,개발,월 요금 맨 위 고정,"비교표에서 월 요금이 항상 첫 줄에 오도록 고정해, 열자마자 가격부터 보이게 함"
다픽웹,개발,가장 싼 상품 강조,담은 상품 중 월 요금이 가장 낮은 것을 눈에 띄게 표시
다픽웹,개발,가격 차이 표시,가장 싼 상품과 얼마나 차이 나는지 금액으로 함께 보여줌
다픽웹,개발,마이페이지 비교함,마이페이지 안에서도 담아둔 비교 목록을 확인할 수 있는 화면을 추가
다픽웹,개발,찜한 조건 그대로 복원,찜한 상품을 다시 열면 찜할 때 골랐던 약정과 색상 조건이 그대로 선택된 상태로 열리게 함
다픽웹,개발,정수기 조건 복원 연결,정수기 상세 화면이 넘겨받은 조건을 읽어 화면에 반영하도록 연결
다픽웹,개발,렌탈 조건 복원 연결,렌탈 상세 화면도 같은 방식으로 조건을 넘겨받아 복원하게 연결
다픽웹,수정,상품 주소 규칙 통합,상품 상세 주소를 만드는 규칙이 여러 파일에 흩어져 있던 것을 한 파일로 모음
다픽웹,수정,비교 중 이탈 문제 발견,비교하기 중 빈 칸을 누르면 목록 페이지로 나가버려 담아둔 것을 두고 화면을 떠나는 문제를 확인
다픽웹,기획,그 자리에서 고르기로 방향 결정,목록으로 내보내지 않고 그 자리에서 상품을 고르는 창을 띄우는 방식으로 방향을 정함
다픽웹,개발,상품 고르기 창,빈 칸을 누르면 화면 아래에서 올라오는 상품 고르기 창을 새로 만듦
다픽웹,개발,카테고리별 목록 공급 구조,"정수기·렌탈·인터넷이 각각 자기 상품 목록을 고르기 창에 넘겨주는 구조로 설계해, 공용 파일이 가격 계산을 떠안지 않게 함"
다픽웹,개발,정수기 목록 공급,정수기 상세 화면이 정수기 전체 목록을 불러와 고르기 창에 넘기도록 연결
다픽웹,개발,렌탈 목록 공급,"렌탈은 같은 종류 안에서만 목록을 불러오게 해서, 안마의자는 안마의자끼리 비교되게 함"
다픽웹,개발,인터넷 목록 공급,인터넷·TV는 통신사별 인터넷 요금제를 한 줄씩 보여주도록 목록을 구성
다픽웹,기획,상대 상품 조건 승계 규칙,"비교가 성립하려면 조건이 같아야 하므로, 상대 상품도 지금 화면과 같은 조건으로 담고 그 조건이 없을 때만 가장 싼 조건으로 담기로 정함"
다픽웹,개발,같은 조건 찾기 처리,"상대 상품의 요금표에서 지금 화면과 같은 조건을 먼저 찾고, 없으면 가장 저렴한 조건을 고르는 계산을 구현"
다픽웹,개발,색상 조건 승계,"지금 보고 있는 색상이 상대 상품에도 있으면 그 색으로, 없으면 그 상품의 첫 번째 색으로 담기게 함"
다픽웹,개발,고른 조건 화면에 표기,"어떤 조건으로 담기는지 목록 한 줄마다 글로 적어, 사용자가 모른 채 담는 일이 없게 함"
다픽웹,개발,요금 표시 규칙,"제휴카드 할인가가 있으면 그 값을, 가격 정보가 없으면 상담 시 안내로 표시"
다픽웹,개발,상품 검색,"고르기 창에서 상품 이름이나 조건, 모델명으로 검색할 수 있게 함"
다픽웹,수정,검색 중 커서 유지,"글자를 칠 때마다 목록이 다시 그려지면서 커서가 빠지던 부분을 잡아, 계속 이어서 칠 수 있게 함"
다픽웹,개발,이미 담은 줄 잠금,"이미 담긴 상품은 담김으로 표시하고 버튼을 눌리지 않게 해, 같은 항목이 두 줄 생기는 걸 막음"
다픽웹,개발,3개 초과 안내,세 개가 다 찬 상태에서 더 담으면 조용히 무시하지 않고 이유를 한 줄로 안내
다픽웹,개발,다 담으면 자동 닫기,세 칸이 모두 차면 고르기 창이 스스로 닫혀 바로 비교로 넘어가게 함
다픽웹,개발,불러오는 중 안내,목록을 받아오는 동안 빈 화면 대신 불러오는 중이라는 안내를 띄움
다픽웹,개발,실패 시 다시 시도,목록을 못 받아오면 실패 안내와 함께 다시 시도 버튼을 보여줌
다픽웹,개발,창 닫는 방법 추가,배경을 누르거나 키보드 Esc로도 고르기 창을 닫을 수 있게 함
다픽웹,개발,카테고리 섞임 차단,"목록에 다른 카테고리 상품이 섞여 들어오면 걸러내, 정수기 칸에 렌탈이 들어가는 일을 구조적으로 막음"
다픽웹,수정,통신사 로고 경로 정리,마이페이지 등 다른 위치에서도 로고가 깨지지 않도록 경로 처리 방식을 하나로 정리
다픽웹,수정,화면 겹침 순서 정리,"고르기 창이 비교 표보다는 위, 인터넷 옵션 창보다는 아래에 오도록 겹침 순서를 정리"
다픽웹,개발,고르기 창 디자인,"상품 사진, 이름, 조건, 요금, 담기 버튼이 한 줄에 정리돼 보이도록 화면 디자인을 만듦"
다픽웹,개발,미적용 화면 대비,아직 고르기 기능을 붙이지 않은 화면에서는 예전처럼 목록으로 이동하도록 대비책을 남김
다픽웹,개발,자동 검사 추가,고르기 기능이 나중에 망가지면 바로 잡히도록 자동 검사 항목을 새로 만들어 붙임
다픽웹,수정,검사 도구 오류 정정,"검사용 가짜 서버가 잘못 응답해 화면이 초기화되던 문제와, 기대값이 실제 동작과 달랐던 두 건을 바로잡음"
다픽웹,개발,전체 자동 검사 실행,비교함 외 다른 기능까지 자동 검사를 전부 돌려 문제가 없는지 확인
다픽웹,기획,인수인계 문서 작성,"다음 작업자가 이어받을 수 있도록 진행 상황, 결정 사항, 남은 일, 주의점을 문서로 정리"
